P_emaildomain,Transactions,FraudRate
protonmail.com,76,0.40789473684210525
mail.com,559,0.18962432915921287
outlook.es,438,0.13013698630136986
aim.com,315,0.12698412698412698
outlook.com,5096,0.0945839874411303
hotmail.es,305,0.06557377049180328
live.com.mx,749,0.05473965287049399
hotmail.com,45250,0.052950276243093924
gmail.com,228355,0.043541853692715286
yahoo.fr,143,0.03496503496503497
embarqmail.com,260,0.03461538461538462
mac.com,436,0.03211009174311927
icloud.com,6267,0.03143449816499123
comcast.net,7888,0.03118661257606491
charter.net,816,0.030637254901960783
frontier.com,280,0.02857142857142857
bellsouth.net,1909,0.02776322682032478
live.com,3041,0.027622492601118053
frontiernet.net,195,0.02564102564102564
anonymous.com,36998,0.02321747121466025
suddenlink.net,175,0.022857142857142857
yahoo.com,100934,0.02275744545940912
gmail,496,0.02217741935483871
msn.com,4092,0.021994134897360705
aol.com,28289,0.021810597758846195
earthlink.net,514,0.021400778210116732
ymail.com,2396,0.020868113522537562
cox.net,1393,0.0208183776022972
cableone.net,159,0.018867924528301886
juno.com,322,0.018633540372670808
me.com,1522,0.017739816031537452
optonline.net,1011,0.016815034619188922
yahoo.es,134,0.014925373134328358
yahoo.com.mx,1543,0.010369410239792612
roadrunner.com,305,0.009836065573770493
verizon.net,2705,0.008133086876155268
att.net,4033,0.007438631291842301
sc.rr.com,164,0.006097560975609756
netzero.net,196,0.00510204081632653
prodigy.net.mx,207,0.004830917874396135
sbcglobal.net,2970,0.00404040404040404
rocketmail.com,664,0.0030120481927710845
windstream.net,305,0.0
centurylink.net,205,0.0
netzero.com,230,0.0
yahoo.de,74,0.0
cfl.rr.com,172,0.0
yahoo.co.uk,49,0.0
yahoo.co.jp,32,0.0
hotmail.co.uk,112,0.0
web.de,240,0.0
hotmail.de,43,0.0
servicios-ta.com,35,0.0
gmx.de,149,0.0
hotmail.fr,295,0.0
q.com,189,0.0
ptd.net,68,0.0
live.fr,56,0.0
twc.com,230,0.0
