Customer_ID,State,City,Zip Code,Customer_Gender,Senior_Customer,Has_Partner,Has_Dependents,Customer_Tenure_Months,Phone_Service,Multiple_Lines,Digital_Service,Security_Product,Backup_Product,Device_Protection,Customer_Support,Entertainment_Service,Media_Service,Account_Contract,Digital_Billing,Payment_Method,Monthly_Revenue,Lifetime_Revenue,Customer_Churn,Churn_Flag,Customer_Lifetime_Value,Tenure_Category,Revenue_Segment,Customer_Value_Segment,Churn_Probability,Risk_Level,Revenue_At_Risk
3668-QPYBK,California,Los Angeles,90003,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,3239,New Customer,Medium Revenue,High Value,0.56985605,Medium Risk,30.686748164892197
9237-HQITU,California,Los Angeles,90005,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,2701,New Customer,Medium Revenue,Standard Value,0.744958,Medium Risk,52.66852943301201
9305-CDSKC,California,Los Angeles,90006,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,5372,New Customer,Medium Revenue,Premium Value,0.9138444,High Risk,91.06459511816502
7892-POOKP,California,Los Angeles,90010,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,5003,Established Customer,High Revenue,Premium Value,0.6925781,Medium Risk,72.58218250274658
0280-XJGEX,California,Los Angeles,90015,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,5340,Loyal Customer,High Revenue,Premium Value,0.6157779,Medium Risk,63.8561692416668
4190-MFLUW,California,Los Angeles,90020,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,5925,New Customer,Medium Revenue,Premium Value,0.2677287,Low Risk,14.778623485565186
8779-QRDMV,California,Los Angeles,90022,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,5433,New Customer,Low Revenue,Premium Value,0.8673668,High Risk,34.391093254089355
1066-JKSGK,California,Los Angeles,90024,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,4832,New Customer,Low Revenue,High Value,0.47232866,Medium Risk,9.517422556877136
6467-CHFZW,California,Los Angeles,90028,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,5789,Loyal Customer,Medium Revenue,Premium Value,0.5178926,Medium Risk,51.4526297211647
8665-UTDHZ,California,Los Angeles,90029,Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,2915,New Customer,Low Revenue,Standard Value,0.59075886,Medium Risk,17.840917575359345
8773-HHUOZ,California,Los Angeles,90032,Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,3022,Established Customer,Medium Revenue,High Value,0.45955557,Medium Risk,29.733245140314104
6047-YHPVI,California,Los Angeles,90039,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,2454,New Customer,Medium Revenue,Standard Value,0.57797563,Medium Risk,40.28490146398544
5380-WJKOV,California,Los Angeles,90041,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,2941,Established Customer,High Revenue,Standard Value,0.2424095,Low Risk,25.7802500590682
8168-UQWWF,California,Los Angeles,90042,Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,5674,New Customer,Medium Revenue,Premium Value,0.859331,High Risk,84.08553950190543
7760-OYPDY,California,Los Angeles,90056,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,5586,New Customer,Medium Revenue,Premium Value,0.689033,Medium Risk,55.570509180426605
9420-LOJKX,California,Los Angeles,90061,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,2966,Established Customer,Medium Revenue,Standard Value,0.5102999,Medium Risk,50.570722174644466
7495-OOKFY,California,Los Angeles,90063,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,5302,New Customer,Medium Revenue,Premium Value,0.57359445,Medium Risk,46.26039246916771
1658-BYGOY,California,Los Angeles,90065,Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,3179,Established Customer,Medium Revenue,High Value,0.5164208,Medium Risk,49.29236360490322
5698-BQJOH,California,Beverly Hills,90211,Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,5571,New Customer,Medium Revenue,Premium Value,0.63202065,Medium Risk,59.66274957656861
5919-TMRGD,California,Huntington Park,90255,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,2483,New Customer,Medium Revenue,Standard Value,0.75248563,High Risk,59.70973497033119
9191-MYQKX,California,Lynwood,90262,Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,3457,New Customer,Medium Revenue,High Value,0.45375124,Medium Risk,34.099405400455
8637-XJIVR,California,Marina Del Rey,90292,Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,5806,New Customer,Medium Revenue,Premium Value,0.5496804,Medium Risk,43.39726851284504
0278-YXOOG,California,Inglewood,90301,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,2604,New Customer,Low Revenue,Standard Value,0.13545473,Low Risk,2.8513220496475697
4598-XLKNJ,California,Inglewood,90303,Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,5337,Established Customer,Medium Revenue,Premium Value,0.34111157,Low Risk,33.59948970377445
3192-NQECA,California,Santa Monica,90403,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1,5034,Long-Term Customer,High Revenue,Premium Value,0.27667785,Low Risk,30.434563159942627
0486-HECZI,California,Torrance,90504,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,5154,Loyal Customer,Medium Revenue,Premium Value,0.12924033,Low Risk,12.504002317786217
4846-WHAFZ,California,Whittier,90602,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,1,2793,Loyal Customer,Medium Revenue,Standard Value,0.16602542,Low Risk,12.700944252312183
5299-RULOA,California,Whittier,90606,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1,5998,New Customer,High Revenue,Premium Value,0.7992722,High Risk,80.12703600525856
0404-SWRVG,California,La Habra,90631,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,1,4415,New Customer,Medium Revenue,High Value,0.7623421,High Risk,56.718251895904544
4412-YLTKF,California,Pico Rivera,90660,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,1,4638,Established Customer,Medium Revenue,High Value,0.28764626,Low Risk,22.45079089254141
6207-WIOLX,California,Avalon,90704,Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,1,4190,Established Customer,Medium Revenue,High Value,0.2634257,Low Risk,15.43674647808075
3091-FYHKI,California,Harbor City,90710,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,1,2301,New Customer,Low Revenue,Standard Value,0.7448529,Medium Risk,26.405035322904588
2372-HWUHI,California,Lakewood,90712,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,1,2570,New Customer,Low Revenue,Standard Value,0.5437878,Medium Risk,24.11698792874813
