Alert_ID,Date,Alert_Type,Severity,Source,Department,Analyst,Resolution_Time_Minutes,False_Positive,Risk_Score,SLA_Met,Device_Name,Status
1,2026-03-31 09:23:00,Firewall Alert,High,Firewall,Finance,Peter,175,No,79,Yes,HOST-1311,Resolved
2,2026-05-04 17:46:00,Privilege Escalation,Medium,Endpoint,Engineering,Tony,80,No,57,Yes,HOST-1238,Resolved
3,2026-04-22 15:04:00,Phishing,Low,Email,Engineering,Peter,27,No,27,Yes,HOST-1247,In Progress
4,2026-04-24 21:36:00,Failed Login,Medium,Identity Provider,Human Resources,Clark,51,Yes,48,Yes,HOST-1162,Closed
5,2026-03-30 17:54:00,Malware,Low,Endpoint,Finance,Bruce,36,No,18,Yes,HOST-1284,Resolved
6,2026-06-29 13:33:00,Failed Login,Low,Identity Provider,Engineering,Steve,27,Yes,7,Yes,HOST-1202,Closed
7,2026-01-19 22:59:00,Failed Login,Critical,Identity Provider,Finance,Tony,617,Yes,86,Yes,HOST-1130,Resolved
8,2026-05-03 16:08:00,Phishing,Medium,Email,Finance,Tony,51,No,60,Yes,HOST-1151,Resolved
9,2026-06-05 09:04:00,Phishing,Low,Email,Finance,Peter,17,Yes,10,Yes,HOST-1027,Resolved
10,2026-06-03 14:10:00,Malware,Low,Endpoint,Engineering,Peter,27,No,15,Yes,HOST-1227,Resolved
11,2026-06-02 13:55:00,Data Exfiltration,Low,DLP,Engineering,Tony,22,No,11,Yes,HOST-1320,Resolved
12,2026-01-12 18:29:00,Malware,Low,Endpoint,Engineering,Peter,38,No,24,Yes,HOST-1234,Closed
13,2026-01-26 08:01:00,Phishing,Low,Email,Operations,Peter,20,No,22,Yes,HOST-1097,Closed
14,2026-05-27 14:05:00,Phishing,High,Email,Finance,Steve,139,Yes,65,Yes,HOST-1149,Closed
15,2026-06-04 11:07:00,Phishing,Medium,Email,Engineering,Peter,89,Yes,48,Yes,HOST-1165,In Progress
16,2026-02-27 08:08:00,Failed Login,Medium,Identity Provider,Human Resources,Peter,65,No,57,Yes,HOST-1020,Resolved
17,2026-01-16 09:54:00,Data Exfiltration,High,DLP,Engineering,Bruce,122,No,68,Yes,HOST-1317,Resolved
18,2026-06-16 17:53:00,Phishing,Medium,Email,Engineering,Tony,81,Yes,40,Yes,HOST-1013,Resolved
19,2026-02-28 17:18:00,Failed Login,Low,VPN,Engineering,Steve,22,No,30,Yes,HOST-1339,Resolved
20,2026-05-01 10:25:00,Phishing,Low,Email,Finance,Clark,26,Yes,30,Yes,HOST-1151,Resolved
21,2026-02-18 11:32:00,Failed Login,Low,Identity Provider,Finance,Clark,20,Yes,22,Yes,HOST-1228,In Progress
22,2026-04-03 18:02:00,Phishing,Low,Email,Operations,Peter,17,No,6,Yes,HOST-1235,Resolved
23,2026-01-16 09:06:00,Failed Login,High,Identity Provider,Engineering,Clark,236,Yes,65,Yes,HOST-1053,Resolved
24,2026-01-02 15:35:00,Firewall Alert,Critical,Firewall,Operations,Steve,689,Yes,87,Yes,HOST-1287,Closed
25,2026-01-23 17:43:00,Firewall Alert,Low,Firewall,Finance,Clark,36,No,30,Yes,HOST-1145,Closed
26,2026-04-06 16:06:00,Failed Login,Low,VPN,Finance,Bruce,32,Yes,30,Yes,HOST-1259,Resolved
27,2026-05-27 17:53:00,Data Exfiltration,Medium,DLP,Finance,Bruce,77,No,38,Yes,HOST-1081,Closed
28,2026-05-21 13:32:00,Privilege Escalation,Low,Identity Provider,Engineering,Steve,19,No,9,Yes,HOST-1096,Resolved
29,2026-01-26 19:09:00,Firewall Alert,Low,Firewall,Human Resources,Peter,24,No,7,Yes,HOST-1247,Closed
30,2026-04-06 18:44:00,Data Exfiltration,High,DLP,Engineering,Clark,156,No,83,Yes,HOST-1095,Resolved
31,2026-04-06 14:46:00,Firewall Alert,Low,Firewall,Operations,Tony,18,No,30,Yes,HOST-1118,Resolved
32,2026-03-09 09:04:00,Phishing,Low,Email,Engineering,Peter,31,No,10,Yes,HOST-1187,Closed
33,2026-03-24 13:03:00,Failed Login,High,VPN,Executive,Clark,218,Yes,81,Yes,HOST-1276,Resolved
34,2026-03-30 12:15:00,Phishing,Low,Email,Operations,Peter,35,No,9,Yes,HOST-1030,Closed
35,2026-04-06 05:37:00,Phishing,Low,Email,Engineering,Bruce,39,Yes,14,Yes,HOST-1002,Closed
36,2026-04-24 02:05:00,Phishing,Low,Email,Finance,Tony,18,Yes,24,Yes,HOST-1090,Closed
37,2026-06-22 14:25:00,Phishing,Medium,Email,Engineering,Peter,84,Yes,48,Yes,HOST-1023,Closed
38,2026-05-26 14:31:00,Firewall Alert,Low,Firewall,Engineering,Peter,23,Yes,22,Yes,HOST-1133,Resolved
39,2026-04-14 08:06:00,Phishing,Medium,Email,Engineering,Tony,59,No,51,Yes,HOST-1303,Resolved
40,2026-06-15 13:53:00,Phishing,Low,Email,Engineering,Tony,15,Yes,9,Yes,HOST-1184,Closed
41,2026-02-13 14:22:00,Malware,Low,Endpoint,Operations,Bruce,22,No,23,Yes,HOST-1066,Closed
42,2026-01-09 17:09:00,Failed Login,Medium,VPN,Executive,Bruce,55,Yes,59,Yes,HOST-1009,Closed
43,2026-05-13 20:17:00,Malware,Low,Endpoint,Operations,Bruce,36,No,10,Yes,HOST-1098,Resolved
44,2026-03-11 21:12:00,Firewall Alert,Low,Firewall,Operations,Tony,25,No,26,Yes,HOST-1330,Closed
45,2026-01-15 18:12:00,Phishing,High,Email,Engineering,Peter,175,No,80,Yes,HOST-1256,Resolved
46,2026-03-04 07:10:00,Failed Login,Low,VPN,Engineering,Peter,19,No,8,Yes,HOST-1076,Resolved
47,2026-06-18 13:27:00,Failed Login,Medium,Identity Provider,Engineering,Peter,77,No,34,Yes,HOST-1167,Resolved
48,2026-01-09 18:54:00,Failed Login,Low,VPN,Engineering,Clark,19,Yes,7,Yes,HOST-1129,In Progress
49,2026-05-10 15:54:00,Privilege Escalation,Low,Identity Provider,Human Resources,Steve,24,No,10,Yes,HOST-1084,Resolved
50,2026-04-09 07:39:00,Failed Login,Low,Identity Provider,Finance,Tony,20,Yes,9,Yes,HOST-1346,In Progress
51,2026-04-23 23:56:00,Phishing,Low,Email,Engineering,Peter,17,Yes,11,Yes,HOST-1323,Resolved
52,2026-05-19 15:55:00,Phishing,Low,Email,Engineering,Bruce,22,No,20,No,HOST-1315,Resolved
53,2026-03-12 16:38:00,Phishing,Low,Email,Operations,Peter,38,Yes,6,Yes,HOST-1141,Resolved
54,2026-05-22 20:35:00,Phishing,Low,Email,Engineering,Peter,17,Yes,19,Yes,HOST-1089,Resolved
55,2026-01-12 13:46:00,Failed Login,Low,VPN,Operations,Peter,23,Yes,8,Yes,HOST-1104,Resolved
56,2026-01-05 17:03:00,Phishing,High,Email,Engineering,Peter,159,No,82,Yes,HOST-1302,Closed
57,2026-01-23 10:16:00,Phishing,Low,Email,Finance,Bruce,28,No,22,Yes,HOST-1034,In Progress
58,2026-01-14 00:20:00,Phishing,Medium,Email,Finance,Peter,81,Yes,56,Yes,HOST-1021,Resolved
59,2026-05-20 10:25:00,Malware,Critical,Endpoint,Engineering,Tony,692,No,98,Yes,HOST-1169,Closed
60,2026-05-28 20:26:00,Failed Login,Low,VPN,Finance,Peter,16,Yes,7,Yes,HOST-1265,Resolved
